receipt_no,title,category,department,assignee,status,priority,channel,region,satisfaction,received_at,due_at,completed_at
2026-100364,소음 공해 민원,환경,환경관리과,김주무관,완료,낮음,이메일,안양시,5,2025-09-14 12:48:58,2025-09-23 12:48:58,2025-09-24 12:48:58
2026-101097,도로 파손 신고,도로/교통,도로관리과,최주무관,보류,보통,이메일,고양시,,2025-09-14 14:44:48,2025-09-21 14:44:48,
2026-102476,문화행사 문의,문화/체육,문화체육과,조주무관,완료,보통,온라인,평택시,,2025-09-14 15:13:58,2025-09-19 15:13:58,2025-09-18 15:13:58
2026-103735,장애인 편의 요청,복지,사회복지과,이주무관,완료,보통,이메일,안양시,3,2025-09-14 17:42:37,2025-09-20 17:42:37,2025-09-20 17:42:37
2026-101901,쓰레기 무단투기,환경,환경관리과,정주무관,완료,보통,전화,부천시,3,2025-09-15 00:30:48,2025-09-24 00:30:48,2025-09-20 00:30:48
2026-100131,행정서류 재발급,행정,민원행정과,정주무관,보류,보통,방문,용인시,,2025-09-15 08:23:25,2025-09-18 08:23:25,
2026-102768,장애인 편의 요청,복지,사회복지과,이주무관,완료,높음,이메일,수원시,1,2025-09-15 08:25:53,2025-09-21 08:25:53,2025-09-22 08:25:53
2026-102463,증명서 발급 문의,행정,민원행정과,최주무관,완료,보통,온라인,화성시,2,2025-09-15 08:36:55,2025-09-18 08:36:55,2025-09-19 08:36:55
2026-103951,노후축대 점검요청,안전,안전총괄과,이주무관,완료,보통,방문,용인시,3,2025-09-15 09:45:51,2025-09-23 09:45:51,2025-09-26 09:45:51
2026-103833,장애인 편의 요청,복지,사회복지과,최주무관,완료,보통,온라인,이천시,5,2025-09-15 10:10:07,2025-09-21 10:10:07,2025-09-24 10:10:07
2026-102754,불법 주정차 신고,도로/교통,도로관리과,최주무관,완료,보통,전화,수원시,3,2025-09-15 10:29:41,2025-09-22 10:29:41,2025-09-24 10:29:41
2026-103786,증명서 발급 문의,행정,민원행정과,이주무관,완료,낮음,이메일,남양주시,4,2025-09-15 10:40:13,2025-09-18 10:40:13,2025-09-20 10:40:13
2026-100451,신호등 고장 신고,도로/교통,도로관리과,윤주무관,처리중,보통,이메일,화성시,,2025-09-15 16:07:37,2025-09-22 16:07:37,
2026-103000,악취 발생 신고,환경,환경관리과,강주무관,처리중,높음,이메일,과천시,,2025-09-15 20:45:07,2025-09-24 20:45:07,
2026-101621,신호등 고장 신고,도로/교통,도로관리과,조주무관,완료,낮음,온라인,수원시,2,2025-09-15 21:19:08,2025-09-22 21:19:08,2025-09-25 21:19:08
2026-100713,장애인 편의 요청,복지,사회복지과,이주무관,처리중,보통,온라인,이천시,,2025-09-15 22:30:17,2025-09-21 22:30:17,
2026-100714,신호등 고장 신고,도로/교통,도로관리과,박주무관,완료,높음,전화,남양주시,,2025-09-16 08:20:04,2025-09-23 08:20:04,2025-09-26 08:20:04
2026-100571,행정서류 재발급,행정,민원행정과,김주무관,완료,낮음,온라인,성남시,2,2025-09-16 09:58:04,2025-09-19 09:58:04,2025-09-18 09:58:04
2026-100236,소음 공해 민원,환경,환경관리과,박주무관,접수,보통,이메일,용인시,,2025-09-16 11:32:43,2025-09-25 11:32:43,
2026-101606,불법건축물 신고,건축/주택,건축과,윤주무관,완료,보통,온라인,안양시,1,2025-09-16 12:16:18,2025-09-28 12:16:18,2025-10-07 12:16:18
2026-103107,신호등 고장 신고,도로/교통,도로관리과,조주무관,완료,보통,전화,포천시,,2025-09-16 12:25:43,2025-09-23 12:25:43,2025-09-19 12:25:43
2026-103141,노인돌봄 신청,복지,사회복지과,정주무관,완료,낮음,온라인,평택시,4,2025-09-16 12:47:59,2025-09-22 12:47:59,2025-09-20 12:47:59
2026-100015,불법 주정차 신고,도로/교통,도로관리과,조주무관,처리중,보통,온라인,고양시,,2025-09-16 13:15:50,2025-09-23 13:15:50,
2026-103641,행정서류 재발급,행정,민원행정과,정주무관,완료,낮음,온라인,오산시,,2025-09-16 14:25:57,2025-09-19 14:25:57,2025-09-20 14:25:57
2026-100267,재난위험시설 신고,안전,안전총괄과,최주무관,완료,보통,전화,안성시,3,2025-09-16 14:39:09,2025-09-24 14:39:09,2025-09-18 14:39:09
2026-102537,주택 누수 하자,건축/주택,건축과,박주무관,완료,보통,전화,용인시,4,2025-09-16 14:53:43,2025-09-28 14:53:43,2025-09-26 14:53:43
2026-101349,도로 파손 신고,도로/교통,도로관리과,박주무관,접수,보통,온라인,의정부시,,2025-09-16 17:55:05,2025-09-23 17:55:05,
2026-103313,화재위험 신고,안전,안전총괄과,조주무관,처리중,낮음,방문,수원시,,2025-09-16 19:39:58,2025-09-24 19:39:58,
2026-103935,불법 주정차 신고,도로/교통,도로관리과,박주무관,처리중,낮음,온라인,화성시,,2025-09-17 04:29:35,2025-09-24 04:29:35,
2026-101976,증명서 발급 문의,행정,민원행정과,정주무관,완료,높음,전화,광주시,2,2025-09-17 07:21:57,2025-09-20 07:21:57,2025-09-19 07:21:57
2026-102912,증명서 발급 문의,행정,민원행정과,김주무관,처리중,보통,온라인,화성시,,2025-09-17 09:43:57,2025-09-20 09:43:57,
2026-101285,쓰레기 무단투기,환경,환경관리과,최주무관,완료,보통,온라인,과천시,4,2025-09-17 10:21:36,2025-09-26 10:21:36,2025-09-19 10:21:36
2026-101048,도로 파손 신고,도로/교통,도로관리과,윤주무관,처리중,보통,방문,남양주시,,2025-09-17 10:57:46,2025-09-24 10:57:46,
2026-103089,불법 주정차 신고,도로/교통,도로관리과,이주무관,완료,보통,온라인,안양시,3,2025-09-17 11:53:59,2025-09-24 11:53:59,2025-09-28 11:53:59
2026-100775,불법 주정차 신고,도로/교통,도로관리과,김주무관,접수,보통,온라인,수원시,,2025-09-17 13:36:50,2025-09-24 13:36:50,
2026-101753,주택 누수 하자,건축/주택,건축과,최주무관,완료,보통,온라인,부천시,4,2025-09-17 15:00:10,2025-09-29 15:00:10,2025-09-26 15:00:10
2026-100286,노후축대 점검요청,안전,안전총괄과,강주무관,완료,낮음,온라인,의정부시,5,2025-09-17 17:29:09,2025-09-25 17:29:09,2025-09-23 17:29:09
2026-102046,소음 공해 민원,환경,환경관리과,윤주무관,접수,높음,방문,여주시,,2025-09-18 06:29:28,2025-09-27 06:29:28,
2026-103555,쓰레기 무단투기,환경,환경관리과,조주무관,보류,보통,온라인,고양시,,2025-09-18 08:06:41,2025-09-27 08:06:41,
2026-103279,불법 주정차 신고,도로/교통,도로관리과,조주무관,완료,낮음,온라인,남양주시,4,2025-09-18 08:08:54,2025-09-25 08:08:54,2025-09-26 08:08:54
2026-103464,재난위험시설 신고,안전,안전총괄과,이주무관,완료,보통,전화,안산시,,2025-09-18 08:36:22,2025-09-26 08:36:22,2025-09-22 08:36:22
2026-103608,신호등 고장 신고,도로/교통,도로관리과,윤주무관,완료,보통,온라인,안산시,5,2025-09-18 09:15:20,2025-09-25 09:15:20,2025-09-25 09:15:20
2026-100477,신호등 고장 신고,도로/교통,도로관리과,정주무관,보류,높음,전화,부천시,,2025-09-18 13:22:21,2025-09-25 13:22:21,
2026-100418,도로 파손 신고,도로/교통,도로관리과,김주무관,처리중,보통,온라인,화성시,,2025-09-18 13:38:14,2025-09-25 13:38:14,
2026-101081,악취 발생 신고,환경,환경관리과,박주무관,보류,보통,온라인,의정부시,,2025-09-18 14:17:47,2025-09-27 14:17:47,
2026-102390,노인돌봄 신청,복지,사회복지과,김주무관,완료,높음,온라인,여주시,4,2025-09-18 14:25:06,2025-09-24 14:25:06,2025-09-24 14:25:06
2026-103471,불법 주정차 신고,도로/교통,도로관리과,최주무관,완료,보통,온라인,광주시,2,2025-09-18 14:26:26,2025-09-25 14:26:26,2025-09-23 14:26:26
2026-102640,재난위험시설 신고,안전,안전총괄과,박주무관,완료,보통,온라인,오산시,3,2025-09-18 14:31:07,2025-09-26 14:31:07,2025-09-21 14:31:07
2026-101955,화재위험 신고,안전,안전총괄과,조주무관,완료,보통,이메일,수원시,4,2025-09-18 14:44:19,2025-09-26 14:44:19,2025-09-24 14:44:19
2026-102180,민원처리 지연 항의,행정,민원행정과,김주무관,완료,보통,전화,성남시,5,2025-09-18 14:49:16,2025-09-21 14:49:16,2025-09-21 14:49:16
2026-100946,노후축대 점검요청,안전,안전총괄과,김주무관,보류,낮음,온라인,가평군,,2025-09-18 15:08:42,2025-09-26 15:08:42,
2026-101573,불법건축물 신고,건축/주택,건축과,조주무관,완료,높음,이메일,파주시,4,2025-09-18 15:44:55,2025-09-30 15:44:55,2025-09-21 15:44:55
2026-103943,노후축대 점검요청,안전,안전총괄과,이주무관,처리중,보통,전화,용인시,,2025-09-18 17:44:46,2025-09-26 17:44:46,
2026-100332,신호등 고장 신고,도로/교통,도로관리과,윤주무관,접수,보통,온라인,광주시,,2025-09-18 17:54:48,2025-09-25 17:54:48,
2026-100345,소음 공해 민원,환경,환경관리과,조주무관,완료,낮음,전화,김포시,4,2025-09-18 19:13:28,2025-09-27 19:13:28,2025-09-29 19:13:28
2026-102309,도로 파손 신고,도로/교통,도로관리과,최주무관,처리중,보통,온라인,고양시,,2025-09-19 01:21:58,2025-09-26 01:21:58,
2026-100211,노인돌봄 신청,복지,사회복지과,김주무관,처리중,보통,온라인,성남시,,2025-09-19 04:48:14,2025-09-25 04:48:14,
2026-103520,불법 주정차 신고,도로/교통,도로관리과,강주무관,반려,낮음,온라인,남양주시,,2025-09-19 08:35:28,2025-09-26 08:35:28,
2026-101291,소음 공해 민원,환경,환경관리과,최주무관,처리중,낮음,온라인,안성시,,2025-09-19 08:53:43,2025-09-28 08:53:43,
2026-100403,행정서류 재발급,행정,민원행정과,윤주무관,완료,보통,온라인,양주시,5,2025-09-19 09:32:44,2025-09-22 09:32:44,2025-09-21 09:32:44
2026-103901,불법건축물 신고,건축/주택,건축과,윤주무관,처리중,보통,온라인,하남시,,2025-09-19 10:18:59,2025-10-01 10:18:59,
2026-103270,증명서 발급 문의,행정,민원행정과,윤주무관,완료,보통,온라인,용인시,1,2025-09-19 11:01:19,2025-09-22 11:01:19,2025-09-21 11:01:19
2026-101528,악취 발생 신고,환경,환경관리과,윤주무관,완료,보통,온라인,여주시,4,2025-09-19 11:42:48,2025-09-28 11:42:48,2025-09-27 11:42:48
2026-102255,건축허가 문의,건축/주택,건축과,강주무관,완료,보통,온라인,안양시,3,2025-09-19 12:00:53,2025-10-01 12:00:53,2025-09-26 12:00:53
2026-101185,악취 발생 신고,환경,환경관리과,정주무관,완료,높음,전화,수원시,5,2025-09-19 12:09:59,2025-09-28 12:09:59,2025-10-04 12:09:59
2026-101530,장애인 편의 요청,복지,사회복지과,강주무관,완료,높음,이메일,수원시,4,2025-09-19 12:11:29,2025-09-25 12:11:29,2025-09-25 12:11:29
2026-102317,소음 공해 민원,환경,환경관리과,조주무관,완료,보통,온라인,안성시,,2025-09-19 12:33:04,2025-09-28 12:33:04,2025-09-28 12:33:04
2026-103932,노후축대 점검요청,안전,안전총괄과,강주무관,완료,보통,이메일,김포시,5,2025-09-19 13:45:06,2025-09-27 13:45:06,2025-10-04 13:45:06
2026-100132,불법 주정차 신고,도로/교통,도로관리과,윤주무관,처리중,보통,온라인,고양시,,2025-09-19 14:13:39,2025-09-26 14:13:39,
2026-103451,불법건축물 신고,건축/주택,건축과,김주무관,처리중,높음,온라인,안산시,,2025-09-19 14:24:07,2025-10-01 14:24:07,
2026-103674,신호등 고장 신고,도로/교통,도로관리과,이주무관,완료,보통,전화,구리시,2,2025-09-19 15:15:24,2025-09-26 15:15:24,2025-09-30 15:15:24
2026-103429,불법건축물 신고,건축/주택,건축과,조주무관,완료,낮음,전화,이천시,5,2025-09-19 17:55:45,2025-10-01 17:55:45,2025-10-05 17:55:45
2026-101111,신호등 고장 신고,도로/교통,도로관리과,최주무관,완료,보통,방문,과천시,5,2025-09-19 20:31:20,2025-09-26 20:31:20,2025-09-28 20:31:20
2026-101720,도로 파손 신고,도로/교통,도로관리과,윤주무관,완료,보통,온라인,의왕시,5,2025-09-20 06:53:27,2025-09-27 06:53:27,2025-10-01 06:53:27
2026-102477,노인돌봄 신청,복지,사회복지과,윤주무관,완료,높음,온라인,부천시,3,2025-09-20 09:15:34,2025-09-26 09:15:34,2025-09-21 09:15:34
2026-103967,재난위험시설 신고,안전,안전총괄과,조주무관,처리중,보통,온라인,용인시,,2025-09-20 10:49:41,2025-09-28 10:49:41,
2026-103640,민원처리 지연 항의,행정,민원행정과,정주무관,완료,보통,방문,이천시,5,2025-09-20 11:09:17,2025-09-23 11:09:17,2025-09-25 11:09:17
2026-100141,재난위험시설 신고,안전,안전총괄과,박주무관,보류,보통,온라인,수원시,,2025-09-20 12:17:28,2025-09-28 12:17:28,
2026-103492,장애인 편의 요청,복지,사회복지과,김주무관,완료,낮음,이메일,의왕시,,2025-09-20 12:49:22,2025-09-26 12:49:22,2025-09-23 12:49:22
2026-101765,도로 파손 신고,도로/교통,도로관리과,김주무관,완료,보통,온라인,오산시,4,2025-09-20 13:25:43,2025-09-27 13:25:43,2025-10-01 13:25:43
2026-102865,쓰레기 무단투기,환경,환경관리과,최주무관,반려,보통,온라인,안양시,,2025-09-20 14:36:40,2025-09-29 14:36:40,
2026-103716,주택 누수 하자,건축/주택,건축과,조주무관,반려,보통,온라인,의정부시,,2025-09-20 16:24:05,2025-10-02 16:24:05,
2026-100252,불법 주정차 신고,도로/교통,도로관리과,정주무관,처리중,낮음,전화,고양시,,2025-09-20 16:51:56,2025-09-27 16:51:56,
2026-101831,체육시설 예약,문화/체육,문화체육과,조주무관,완료,보통,온라인,의정부시,,2025-09-21 11:48:10,2025-09-26 11:48:10,2025-09-30 11:48:10
2026-100917,증명서 발급 문의,행정,민원행정과,강주무관,접수,보통,온라인,안산시,,2025-09-21 13:20:41,2025-09-24 13:20:41,
2026-100097,악취 발생 신고,환경,환경관리과,김주무관,처리중,보통,방문,김포시,,2025-09-21 16:39:43,2025-09-30 16:39:43,
2026-102462,도서관 운영 건의,문화/체육,문화체육과,이주무관,완료,보통,이메일,파주시,4,2025-09-22 04:39:33,2025-09-27 04:39:33,2025-10-02 04:39:33
2026-101040,도로 파손 신고,도로/교통,도로관리과,이주무관,완료,낮음,방문,광명시,2,2025-09-22 10:35:34,2025-09-29 10:35:34,2025-09-25 10:35:34
2026-103161,주택 누수 하자,건축/주택,건축과,이주무관,완료,보통,온라인,남양주시,,2025-09-22 10:58:32,2025-10-04 10:58:32,2025-09-27 10:58:32
2026-102796,장애인 편의 요청,복지,사회복지과,강주무관,완료,보통,온라인,수원시,5,2025-09-22 13:12:04,2025-09-28 13:12:04,2025-09-29 13:12:04
2026-101546,건축허가 문의,건축/주택,건축과,강주무관,접수,낮음,온라인,고양시,,2025-09-22 13:17:27,2025-10-04 13:17:27,
2026-100307,소음 공해 민원,환경,환경관리과,최주무관,완료,보통,전화,수원시,4,2025-09-22 15:38:30,2025-10-01 15:38:30,2025-10-05 15:38:30
2026-103372,악취 발생 신고,환경,환경관리과,박주무관,완료,보통,전화,남양주시,3,2025-09-22 18:12:31,2025-10-01 18:12:31,2025-10-04 18:12:31
2026-103613,신호등 고장 신고,도로/교통,도로관리과,윤주무관,완료,보통,방문,가평군,5,2025-09-22 18:25:25,2025-09-29 18:25:25,2025-09-26 18:25:25
2026-103037,노후축대 점검요청,안전,안전총괄과,최주무관,처리중,보통,온라인,평택시,,2025-09-23 08:00:12,2025-10-01 08:00:12,
2026-102512,소음 공해 민원,환경,환경관리과,강주무관,완료,보통,온라인,구리시,,2025-09-23 09:48:40,2025-10-02 09:48:40,2025-10-04 09:48:40
2026-101502,불법 주정차 신고,도로/교통,도로관리과,박주무관,완료,보통,온라인,남양주시,,2025-09-23 10:10:13,2025-09-30 10:10:13,2025-09-29 10:10:13
2026-103911,악취 발생 신고,환경,환경관리과,이주무관,완료,높음,온라인,연천군,2,2025-09-23 11:22:46,2025-10-02 11:22:46,2025-09-29 11:22:46
2026-100352,체육시설 예약,문화/체육,문화체육과,조주무관,완료,보통,전화,군포시,3,2025-09-23 12:23:35,2025-09-28 12:23:35,2025-09-29 12:23:35
2026-102248,신호등 고장 신고,도로/교통,도로관리과,윤주무관,완료,보통,온라인,성남시,2,2025-09-23 12:30:00,2025-09-30 12:30:00,2025-09-24 12:30:00
2026-101688,노인돌봄 신청,복지,사회복지과,김주무관,처리중,보통,이메일,평택시,,2025-09-23 12:55:53,2025-09-29 12:55:53,
2026-102288,행정서류 재발급,행정,민원행정과,박주무관,처리중,보통,이메일,안양시,,2025-09-23 13:10:24,2025-09-26 13:10:24,
2026-101401,소음 공해 민원,환경,환경관리과,김주무관,완료,보통,이메일,안성시,4,2025-09-23 13:27:31,2025-10-02 13:27:31,2025-10-01 13:27:31
2026-100057,주택 누수 하자,건축/주택,건축과,최주무관,보류,보통,온라인,오산시,,2025-09-23 15:38:38,2025-10-05 15:38:38,
2026-103301,민원처리 지연 항의,행정,민원행정과,정주무관,완료,보통,온라인,의왕시,,2025-09-23 15:48:45,2025-09-26 15:48:45,2025-09-26 15:48:45
2026-102095,악취 발생 신고,환경,환경관리과,정주무관,접수,높음,온라인,구리시,,2025-09-23 17:04:40,2025-10-02 17:04:40,
2026-100303,악취 발생 신고,환경,환경관리과,윤주무관,완료,높음,온라인,의왕시,,2025-09-23 17:39:03,2025-10-02 17:39:03,2025-09-24 17:39:03
2026-100173,체육시설 예약,문화/체육,문화체육과,김주무관,완료,보통,온라인,가평군,4,2025-09-23 19:56:47,2025-09-28 19:56:47,2025-10-03 19:56:47
2026-103531,소음 공해 민원,환경,환경관리과,강주무관,완료,보통,방문,부천시,5,2025-09-24 07:00:43,2025-10-03 07:00:43,2025-10-11 07:00:43
2026-103669,악취 발생 신고,환경,환경관리과,윤주무관,완료,보통,온라인,성남시,,2025-09-24 07:49:09,2025-10-03 07:49:09,2025-10-05 07:49:09
2026-100879,불법 주정차 신고,도로/교통,도로관리과,이주무관,완료,보통,방문,안산시,4,2025-09-24 09:03:37,2025-10-01 09:03:37,2025-10-08 09:03:37
2026-103535,화재위험 신고,안전,안전총괄과,박주무관,완료,보통,온라인,안성시,3,2025-09-24 09:49:11,2025-10-02 09:49:11,2025-10-01 09:49:11
2026-102520,악취 발생 신고,환경,환경관리과,윤주무관,완료,높음,온라인,여주시,4,2025-09-24 09:51:36,2025-10-03 09:51:36,2025-09-25 09:51:36
2026-102347,증명서 발급 문의,행정,민원행정과,최주무관,접수,보통,온라인,수원시,,2025-09-24 10:54:10,2025-09-27 10:54:10,
2026-103131,민원처리 지연 항의,행정,민원행정과,박주무관,완료,보통,전화,오산시,1,2025-09-24 12:01:55,2025-09-27 12:01:55,2025-09-30 12:01:55
2026-100716,재난위험시설 신고,안전,안전총괄과,정주무관,완료,보통,온라인,의왕시,5,2025-09-24 12:20:07,2025-10-02 12:20:07,2025-09-25 12:20:07
2026-100368,증명서 발급 문의,행정,민원행정과,박주무관,처리중,높음,방문,평택시,,2025-09-24 12:24:12,2025-09-27 12:24:12,
2026-103288,쓰레기 무단투기,환경,환경관리과,조주무관,완료,보통,온라인,수원시,5,2025-09-24 13:17:53,2025-10-03 13:17:53,2025-10-11 13:17:53
2026-101490,증명서 발급 문의,행정,민원행정과,이주무관,접수,높음,이메일,하남시,,2025-09-24 14:17:43,2025-09-27 14:17:43,
2026-101069,신호등 고장 신고,도로/교통,도로관리과,김주무관,접수,낮음,이메일,안산시,,2025-09-24 16:12:08,2025-10-01 16:12:08,
2026-101399,불법건축물 신고,건축/주택,건축과,이주무관,완료,보통,방문,안양시,5,2025-09-24 16:13:26,2025-10-06 16:13:26,2025-10-02 16:13:26
2026-100948,화재위험 신고,안전,안전총괄과,조주무관,완료,높음,온라인,광명시,4,2025-09-24 16:23:00,2025-10-02 16:23:00,2025-10-02 16:23:00
2026-101971,불법건축물 신고,건축/주택,건축과,김주무관,완료,보통,전화,고양시,4,2025-09-25 07:44:41,2025-10-07 07:44:41,2025-10-03 07:44:41
2026-100665,건축허가 문의,건축/주택,건축과,윤주무관,완료,보통,이메일,고양시,5,2025-09-25 08:23:04,2025-10-07 08:23:04,2025-10-14 08:23:04
2026-103797,도로 파손 신고,도로/교통,도로관리과,김주무관,완료,보통,방문,가평군,5,2025-09-25 08:45:54,2025-10-02 08:45:54,2025-10-05 08:45:54
2026-102877,증명서 발급 문의,행정,민원행정과,박주무관,처리중,보통,온라인,용인시,,2025-09-25 09:10:31,2025-09-28 09:10:31,
2026-100088,소음 공해 민원,환경,환경관리과,강주무관,반려,높음,온라인,오산시,,2025-09-25 09:13:52,2025-10-04 09:13:52,
2026-100485,신호등 고장 신고,도로/교통,도로관리과,조주무관,완료,보통,방문,오산시,5,2025-09-25 09:15:59,2025-10-02 09:15:59,2025-10-04 09:15:59
2026-100872,신호등 고장 신고,도로/교통,도로관리과,윤주무관,완료,낮음,온라인,광주시,5,2025-09-25 09:23:46,2025-10-02 09:23:46,2025-10-07 09:23:46
2026-103249,신호등 고장 신고,도로/교통,도로관리과,최주무관,완료,낮음,전화,안산시,5,2025-09-25 09:24:41,2025-10-02 09:24:41,2025-09-26 09:24:41
2026-101715,도로 파손 신고,도로/교통,도로관리과,이주무관,완료,낮음,전화,안산시,4,2025-09-25 09:25:17,2025-10-02 09:25:17,2025-10-02 09:25:17
2026-103772,불법건축물 신고,건축/주택,건축과,강주무관,완료,낮음,온라인,용인시,5,2025-09-25 09:25:56,2025-10-07 09:25:56,2025-10-03 09:25:56
2026-102060,쓰레기 무단투기,환경,환경관리과,윤주무관,완료,보통,방문,부천시,4,2025-09-25 09:46:15,2025-10-04 09:46:15,2025-09-27 09:46:15
2026-100014,복지급여 문의,복지,사회복지과,강주무관,완료,보통,온라인,수원시,3,2025-09-25 10:14:00,2025-10-01 10:14:00,2025-09-26 10:14:00
2026-103324,장애인 편의 요청,복지,사회복지과,조주무관,완료,낮음,이메일,여주시,4,2025-09-25 10:32:18,2025-10-01 10:32:18,2025-10-07 10:32:18
2026-100531,행정서류 재발급,행정,민원행정과,강주무관,완료,낮음,전화,고양시,5,2025-09-25 11:54:27,2025-09-28 11:54:27,2025-09-27 11:54:27
2026-101556,문화행사 문의,문화/체육,문화체육과,윤주무관,완료,높음,이메일,의왕시,5,2025-09-25 11:58:47,2025-09-30 11:58:47,2025-10-02 11:58:47
2026-103156,주택 누수 하자,건축/주택,건축과,강주무관,완료,보통,이메일,오산시,4,2025-09-25 12:02:32,2025-10-07 12:02:32,2025-10-12 12:02:32
2026-103698,화재위험 신고,안전,안전총괄과,최주무관,완료,보통,온라인,수원시,4,2025-09-25 12:40:42,2025-10-03 12:40:42,2025-10-02 12:40:42
2026-102244,불법건축물 신고,건축/주택,건축과,박주무관,완료,낮음,이메일,수원시,4,2025-09-25 13:01:43,2025-10-07 13:01:43,2025-09-30 13:01:43
2026-102574,쓰레기 무단투기,환경,환경관리과,박주무관,반려,보통,온라인,수원시,,2025-09-25 15:11:32,2025-10-04 15:11:32,
2026-100180,불법 주정차 신고,도로/교통,도로관리과,정주무관,접수,높음,온라인,고양시,,2025-09-25 19:37:46,2025-10-02 19:37:46,
2026-100067,문화행사 문의,문화/체육,문화체육과,윤주무관,완료,보통,온라인,과천시,,2025-09-26 01:26:05,2025-10-01 01:26:05,2025-09-29 01:26:05
2026-103664,소음 공해 민원,환경,환경관리과,정주무관,완료,보통,온라인,하남시,5,2025-09-26 05:10:21,2025-10-05 05:10:21,2025-09-29 05:10:21
2026-101206,체육시설 예약,문화/체육,문화체육과,이주무관,처리중,보통,방문,평택시,,2025-09-26 05:21:01,2025-10-01 05:21:01,
2026-102378,건축허가 문의,건축/주택,건축과,최주무관,접수,보통,전화,연천군,,2025-09-26 07:30:33,2025-10-08 07:30:33,
2026-101905,쓰레기 무단투기,환경,환경관리과,강주무관,처리중,낮음,온라인,남양주시,,2025-09-26 08:39:42,2025-10-05 08:39:42,
2026-102648,도로 파손 신고,도로/교통,도로관리과,김주무관,완료,보통,방문,고양시,,2025-09-26 09:05:05,2025-10-03 09:05:05,2025-09-28 09:05:05
2026-102731,악취 발생 신고,환경,환경관리과,최주무관,완료,보통,온라인,가평군,,2025-09-26 09:59:32,2025-10-05 09:59:32,2025-10-07 09:59:32
2026-101210,민원처리 지연 항의,행정,민원행정과,강주무관,완료,보통,전화,고양시,,2025-09-26 10:07:54,2025-09-29 10:07:54,2025-09-28 10:07:54
2026-100065,쓰레기 무단투기,환경,환경관리과,김주무관,처리중,보통,이메일,광주시,,2025-09-26 11:20:07,2025-10-05 11:20:07,
2026-101940,민원처리 지연 항의,행정,민원행정과,윤주무관,보류,보통,온라인,양주시,,2025-09-26 11:20:11,2025-09-29 11:20:11,
2026-100865,도로 파손 신고,도로/교통,도로관리과,강주무관,완료,높음,이메일,남양주시,4,2025-09-26 12:08:17,2025-10-03 12:08:17,2025-10-07 12:08:17
2026-102362,증명서 발급 문의,행정,민원행정과,이주무관,접수,보통,방문,연천군,,2025-09-26 13:25:02,2025-09-29 13:25:02,
2026-102032,복지급여 문의,복지,사회복지과,강주무관,접수,높음,온라인,의왕시,,2025-09-26 13:36:04,2025-10-02 13:36:04,
2026-101223,노인돌봄 신청,복지,사회복지과,조주무관,완료,높음,온라인,수원시,,2025-09-26 14:06:57,2025-10-02 14:06:57,2025-10-01 14:06:57
2026-101021,화재위험 신고,안전,안전총괄과,김주무관,완료,높음,전화,가평군,4,2025-09-26 14:21:48,2025-10-04 14:21:48,2025-10-05 14:21:48
2026-101284,노인돌봄 신청,복지,사회복지과,이주무관,완료,높음,온라인,양평군,5,2025-09-26 14:48:38,2025-10-02 14:48:38,2025-10-05 14:48:38
2026-102929,불법건축물 신고,건축/주택,건축과,이주무관,완료,보통,이메일,광주시,,2025-09-26 16:26:29,2025-10-08 16:26:29,2025-10-16 16:26:29
2026-102304,소음 공해 민원,환경,환경관리과,정주무관,완료,보통,전화,광명시,1,2025-09-26 16:54:54,2025-10-05 16:54:54,2025-10-02 16:54:54
2026-103790,악취 발생 신고,환경,환경관리과,조주무관,완료,보통,전화,파주시,,2025-09-26 17:21:20,2025-10-05 17:21:20,2025-10-03 17:21:20
2026-103062,건축허가 문의,건축/주택,건축과,박주무관,접수,높음,온라인,동두천시,,2025-09-26 18:26:29,2025-10-08 18:26:29,
2026-100455,노인돌봄 신청,복지,사회복지과,이주무관,접수,낮음,온라인,의왕시,,2025-09-27 00:35:52,2025-10-03 00:35:52,
2026-102585,증명서 발급 문의,행정,민원행정과,조주무관,완료,낮음,온라인,의왕시,2,2025-09-27 08:11:50,2025-09-30 08:11:50,2025-10-02 08:11:50
2026-101022,신호등 고장 신고,도로/교통,도로관리과,박주무관,완료,보통,온라인,부천시,5,2025-09-27 08:22:19,2025-10-04 08:22:19,2025-10-04 08:22:19
2026-101906,신호등 고장 신고,도로/교통,도로관리과,최주무관,처리중,낮음,전화,용인시,,2025-09-27 08:27:52,2025-10-04 08:27:52,
2026-103210,신호등 고장 신고,도로/교통,도로관리과,정주무관,완료,보통,온라인,성남시,2,2025-09-27 09:00:04,2025-10-04 09:00:04,2025-10-04 09:00:04
2026-100293,도로 파손 신고,도로/교통,도로관리과,정주무관,처리중,보통,온라인,남양주시,,2025-09-27 09:43:40,2025-10-04 09:43:40,
2026-102517,증명서 발급 문의,행정,민원행정과,강주무관,보류,보통,방문,양주시,,2025-09-27 10:14:28,2025-09-30 10:14:28,
2026-102701,민원처리 지연 항의,행정,민원행정과,최주무관,완료,보통,온라인,성남시,4,2025-09-27 10:32:07,2025-09-30 10:32:07,2025-09-28 10:32:07
2026-103139,도로 파손 신고,도로/교통,도로관리과,정주무관,완료,보통,온라인,수원시,,2025-09-27 12:18:20,2025-10-04 12:18:20,2025-09-28 12:18:20
